MPIO_CCNCT,Dist_EDU,Dist_HEALTH,Dist_SPORT,Pop
70110,0.735,0.643,24.443,8306
85263,0.734,0.575,0.653,6578
05664,0.734,0.818,0.559,10579
15537,0.733,11.223,0.347,2644
13760,0.732,10.059,8.196,9068
05541,0.732,0.985,0.908,11005
17877,0.729,0.602,1.073,10671
08421,0.726,0.764,0.991,13996
50318,0.726,0.719,0.806,9515
23350,0.722,0.570,0.776,11137
44855,0.720,0.623,0.959,9283
25599,0.718,10.578,0.889,3515
23500,0.718,45.663,5.632,5786
20614,0.717,0.557,0.908,6606
76318,0.715,0.638,0.827,18639
13683,0.710,1.276,10.494,17099
20750,0.709,1.074,1.074,10319
25745,0.709,8.129,0.917,7105
73483,0.705,0.833,0.647,7829
23586,0.704,10.210,0.768,7142
05893,0.702,0.841,0.810,9515
25740,0.699,1.347,0.777,23579
18256,0.695,0.717,0.567,7801
08558,0.694,7.438,0.745,13498
05649,0.691,0.652,1.022,7057
50568,0.691,0.701,0.390,20349
52227,0.689,0.675,0.650,6621
73671,0.689,1.269,0.712,8487
81220,0.688,0.557,103.739,2672
25535,0.688,0.440,8.541,2757
05107,0.685,0.411,0.479,2456
23670,0.685,0.556,0.994,9465
52683,0.685,0.555,0.949,9253
50325,0.683,0.632,168.919,2434
73504,0.681,0.692,0.683,6856
15806,0.680,0.792,0.725,4186
41020,0.680,0.828,0.638,9973
15299,0.678,0.712,0.742,10971
20770,0.678,0.876,0.703,11362
44110,0.677,0.690,0.640,6259
86757,0.675,0.891,0.498,4613
25148,0.674,23.243,0.608,2740
19142,0.673,0.670,18.091,5075
50245,0.671,0.163,6.459,530
25438,0.671,0.440,0.417,3833
76823,0.670,0.611,6.481,8355
73352,0.668,0.454,17.074,3386
08141,0.666,0.674,10.657,11200
47745,0.665,24.027,23.827,13290
70230,0.664,19.041,0.490,2853
05890,0.663,0.477,0.864,6175
05364,0.663,0.577,0.868,7146
47675,0.662,10.862,10.282,6303
25183,0.661,0.590,0.738,10399
41885,0.661,0.542,0.541,6196
25873,0.660,0.646,0.947,6368
20517,0.660,0.770,0.616,12962
44098,0.655,0.711,1.878,5586
05282,0.655,0.992,0.641,7735
47707,0.654,0.866,17.043,13015
76828,0.653,0.643,0.699,7879
13744,0.651,0.548,0.721,5657
73675,0.651,0.743,0.783,4298
15693,0.651,0.838,0.725,6901
52678,0.650,0.428,0.447,7830
05190,0.646,0.640,0.710,7707
50590,0.646,0.638,0.694,6313
13248,0.645,18.779,0.911,4093
25377,0.645,0.749,0.795,13342
70702,0.644,0.680,0.683,6883
05858,0.643,1.105,0.700,7571
86219,0.641,0.491,0.495,3274
25394,0.641,0.478,0.545,3638
76130,0.639,0.592,0.749,22141
68861,0.638,0.593,0.593,11450
95200,0.638,1.152,0.433,1939
08849,0.637,0.702,8.527,8980
25486,0.635,1.432,0.917,6309
76497,0.635,0.512,0.593,8072
76126,0.632,0.579,0.766,10835
05079,0.631,0.573,0.715,21579
17513,0.629,0.560,0.585,6495
08372,0.629,2.743,9.416,12374
68190,0.628,1.050,0.699,11805
41078,0.627,0.594,0.760,3480
99773,0.627,0.849,0.613,2809
13667,0.626,0.654,0.507,7035
25326,0.625,0.473,0.658,2209
68522,0.625,5.333,0.338,431
70124,0.624,20.856,20.528,3638
25817,0.622,0.526,0.629,15281
76403,0.622,0.616,0.993,8052
68895,0.622,0.876,1.343,6017
05789,0.620,0.452,0.730,6903
20295,0.617,0.650,0.260,8195
05002,0.616,0.599,0.680,6957
47692,0.616,0.666,11.309,5771
13440,0.615,9.242,11.129,1595
81591,0.613,0.589,0.747,2939
15646,0.612,15.700,1.042,6969
05237,0.612,0.757,0.628,11070
73547,0.607,0.541,11.210,1934
05390,0.607,0.606,0.765,7056
73270,0.607,0.647,0.447,1585
68167,0.607,0.845,0.542,6938
15837,0.606,18.085,1.084,2312
27372,0.606,0.270,#N/A,1652
05667,0.606,0.429,0.608,7229
66440,0.605,0.540,0.904,8032
54720,0.603,0.613,0.685,9264
19780,0.599,0.591,0.655,5728
70771,0.599,0.908,0.600,5980
19397,0.598,19.669,15.286,1040
05120,0.598,0.673,0.785,5264
68464,0.598,0.554,0.637,3974
15097,0.597,24.314,0.450,2291
15087,0.597,5.501,0.625,4482
05885,0.595,0.975,9.342,3048
17867,0.594,20.001,0.547,3992
05030,0.593,0.518,0.732,13032
19256,0.592,0.839,7.079,2538
76250,0.592,0.660,4.375,5187
15861,0.592,11.548,10.959,2338
27800,0.591,0.561,#N/A,4176
63302,0.589,0.488,0.549,4001
70418,0.586,1.213,0.645,10961
15215,0.586,0.458,0.645,1552
41807,0.583,0.625,0.699,7407
15362,0.583,13.701,0.304,1159
13160,0.583,0.415,11.875,3710
47268,0.583,0.582,0.732,15477
41791,0.583,0.472,0.503,5118
13780,0.583,0.623,0.409,6062
44090,0.582,0.680,1.299,4787
27250,0.581,#N/A,0.573,1404
15491,0.581,6.881,0.664,4938
76306,0.577,0.622,0.700,8538
15542,0.577,22.020,0.589,2245
25772,0.576,0.472,0.557,7171
